MiningPower,NON,Height,Onchain,Orphan,AttackSuccess,BuildTime
0.070,6000,100,11,3,1,11
0.070,6000,200,18,3,1,825
0.070,6000,250,24,2,1,867
0.070,8000,30,5,4,1,1
0.070,8000,50,5,4,1,1
0.070,8000,100,14,3,1,1
0.070,8000,200,17,3,1,1
0.070,8000,250,25,2,1,1
0.070,8050,30,6,2,1,2
0.070,8050,50,8,2,1,3
0.070,8050,100,12,3,1,4
0.070,8050,200,19,3,1,2
0.070,8050,250,29,3,1,3
0.080,300,30,5,5,1,6
0.080,300,50,7,3,1,13
0.080,300,100,12,2,1,17
0.080,300,200,23,2,1,5
0.080,300,250,22,3,0,9
0.080,1000,30,4,2,1,17
0.080,1000,50,10,2,1,36
0.080,1000,100,9,2,1,48
0.080,1000,200,23,2,1,10
0.080,1000,250,27,2,1,16
0.080,3000,30,6,3,1,28
0.080,3000,50,10,4,1,55
0.080,3000,100,10,4,1,1
0.080,3000,200,23,3,1,9
0.080,3000,250,35,2,1,10
0.080,6000,30,6,2,1,13
0.080,6000,50,10,2,1,29
0.080,6000,100,11,3,1,52
0.080,6000,200,25,5,1,1
0.080,6000,250,27,3,1,10
0.080,8000,30,7,2,1,872
0.080,8000,50,7,3,1,901
0.080,8000,100,9,3,1,1
0.080,8000,200,18,2,1,1
0.080,8000,250,22,2,1,1
0.080,8050,30,7,2,1,1
0.080,8050,50,7,3,1,1
0.080,8050,100,14,5,1,2
0.080,8050,200,26,2,1,3
0.080,8050,250,24,2,1,4
0.100,300,30,5,4,0,3
0.100,300,50,11,3,1,3
0.100,300,100,15,2,1,6
0.100,300,200,26,5,1,15
0.100,300,250,43,5,0,17
0.100,1000,30,8,2,1,6
0.100,1000,50,5,2,1,9
0.100,1000,100,15,2,1,20
0.100,1000,200,27,4,1,38
0.100,1000,250,32,2,1,45
0.100,3000,30,8,2,1,9
0.100,3000,50,9,2,1,15
0.100,3000,100,12,5,1,28
0.100,3000,200,32,4,1,56
0.100,3000,250,32,3,1,1
0.100,6000,30,6,2,1,9
0.100,6000,50,6,3,1,10
0.100,6000,100,17,2,1,16
0.100,6000,200,28,2,1,27
0.100,6000,250,21,2,1,58
0.100,8000,30,8,2,1,1
0.100,8000,50,7,2,1,10
0.100,8000,100,18,2,1,909
0.100,8000,200,19,3,1,859
0.100,8000,250,20,2,1,1
0.100,8050,30,6,2,1,1
0.100,8050,50,7,3,1,1
0.100,8050,100,14,3,1,1
0.100,8050,200,25,2,1,1
0.100,8050,250,39,2,1,2
0.007,300,30,3,6,0,3
0.007,300,50,5,5,0,4
0.007,300,100,7,4,0,2
0.007,300,200,11,6,0,4
0.007,300,250,12,5,0,7
0.007,1000,30,1,7,0,14
0.007,1000,50,4,2,1,16
0.007,1000,100,3,3,0,6
0.007,1000,200,5,8,0,9
0.007,1000,250,4,3,0,19
0.007,3000,30,1,15,0,36
0.007,3000,50,3,8,0,48
0.007,3000,100,8,7,1,10
0.007,3000,200,13,16,1,14
0.007,3000,250,15,24,0,29
0.007,6000,30,4,8,1,57
0.007,6000,50,3,10,0,1
0.007,6000,100,6,3,1,11
0.007,6000,200,3,11,0,10
0.007,6000,250,12,3,1,15
0.007,8000,30,4,4,1,28
0.007,8000,50,2,12,0,48
0.007,8000,100,6,8,1,1
0.007,8000,200,5,10,0,9
0.007,8000,250,10,8,0,810
0.007,8050,30,1,15,0,854
0.007,8050,50,4,5,1,1
0.007,8050,100,5,3,1,1
0.007,8050,200,5,4,1,1
0.007,8050,250,8,6,1,1
0.010,300,30,1,3,0,1
0.010,300,50,3,4,0,2
0.010,300,100,8,6,0,4
0.010,300,200,12,2,0,4
0.010,300,250,13,6,0,2
0.010,1000,30,1,7,0,4
0.010,1000,50,4,5,1,7
0.010,1000,100,2,4,0,13
0.010,1000,200,7,6,1,17
0.010,1000,250,11,4,1,6
0.010,3000,30,2,28,0,10
0.010,3000,50,7,11,1,18
0.010,3000,100,5,14,0,39
0.010,3000,200,11,16,0,46
0.010,3000,250,18,23,1,10
0.010,6000,30,4,10,1,11
0.010,6000,50,4,8,0,28
0.010,6000,100,7,10,1,55
0.010,6000,200,13,6,1,1
0.010,6000,250,6,7,1,2
0.010,8000,30,4,6,1,10
0.010,8000,50,4,8,1,15
0.010,8000,100,7,6,1,27
0.010,8000,200,15,2,1,56
0.010,8000,250,6,6,1,1
0.010,8050,30,4,4,1,10
0.010,8050,50,4,3,1,912
0.010,8050,100,4,9,0,942
0.010,8050,200,8,8,1,1
0.010,8050,250,6,6,1,1
0.030,300,30,4,6,0,1
0.030,300,50,3,2,0,1
0.030,300,100,7,3,1,1
0.030,300,200,13,6,0,2
0.030,300,250,18,3,1,3
0.030,1000,30,4,2,1,4
0.030,1000,50,4,6,1,3
0.030,1000,100,5,3,1,3
0.030,1000,200,10,5,1,7
0.030,1000,250,11,2,1,13
0.030,3000,30,3,4,0,17
0.030,3000,50,5,4,1,5
0.030,3000,100,11,3,1,7
0.030,3000,200,14,3,0,18
0.030,3000,250,22,3,1,38
0.030,6000,30,6,4,1,35
0.030,6000,50,7,4,1,9
0.030,6000,100,9,2,1,14
0.030,6000,200,16,4,1,28
0.030,6000,250,17,4,1,57
0.030,8000,30,5,2,1,1
0.030,8000,50,5,2,1,2
0.030,8000,100,6,5,1,8
0.030,8000,200,9,2,1,15
0.030,8000,250,17,3,1,26
0.030,8050,30,4,7,1,54
0.030,8050,50,6,2,1,55
0.030,8050,100,6,4,1,807
0.030,8050,200,15,2,1,860
0.030,8050,250,20,2,1,1
0.070,300,30,7,7,0,1
0.070,300,50,6,6,0,1
0.070,300,100,17,2,1,1
0.070,300,200,21,8,1,1
0.070,300,250,26,6,0,2
0.070,1000,30,6,2,1,3
0.070,1000,50,8,2,1,4
0.070,1000,100,13,3,1,2
0.070,1000,200,12,2,1,4
0.070,1000,250,18,2,1,6
0.070,3000,30,6,8,1,12
0.070,3000,50,8,3,1,17
0.070,3000,100,11,4,1,6
0.070,3000,200,16,6,1,9
0.070,3000,250,23,4,1,20
0.070,6000,30,4,3,1,36
0.070,6000,50,8,2,1,47
0.070,6000,100,12,4,1,10
0.070,6000,200,23,3,1,15
0.070,6000,250,23,3,1,29
0.070,8000,30,6,2,1,1
0.070,8000,50,5,2,1,1
0.070,8000,100,13,2,1,1
0.070,8000,200,20,3,1,9
0.070,8000,250,21,2,1,10
0.070,8050,30,5,2,1,15
0.070,8050,50,8,4,1,29
0.070,8050,100,10,3,1,57
0.070,8050,200,19,2,1,1
0.070,8050,250,15,4,1,12
0.080,300,30,9,4,1,824
0.080,300,50,8,2,1,852
0.080,300,100,13,3,0,1
0.080,300,200,20,7,0,1
0.080,300,250,31,3,1,1
0.080,1000,30,8,2,1,1
0.080,1000,50,9,2,1,1
0.080,1000,100,12,2,1,2
0.080,1000,200,16,2,1,4
0.080,1000,250,27,2,1,4
0.080,3000,30,5,3,1,2
0.080,3000,50,13,4,1,4
0.080,3000,100,11,5,1,7
0.080,3000,200,21,4,1,14
0.080,3000,250,39,2,1,17
0.080,6000,30,7,3,1,6
0.080,6000,50,8,2,1,9
0.080,6000,100,15,3,1,18
0.080,6000,200,25,4,1,36
0.080,6000,250,28,2,1,48
0.080,8000,30,8,4,1,9
0.080,8000,50,8,4,1,15
0.080,8000,100,14,3,1,28
0.080,8000,200,21,3,1,56
0.080,8000,250,25,3,1,1
0.080,8050,30,5,2,1,11
0.080,8050,50,7,2,1,10
0.080,8050,100,12,3,1,13
0.080,8050,200,14,3,1,29
0.080,8050,250,21,2,1,56
0.100,300,30,7,2,1,1
0.100,300,50,12,3,1,886
0.100,300,100,19,2,1,858
0.100,300,200,20,5,1,1
0.100,300,250,26,2,1,1
0.100,1000,30,8,2,1,1
0.100,1000,50,14,3,1,1
0.100,1000,100,12,2,1,1
0.100,1000,200,21,2,1,2
0.100,1000,250,24,2,1,3
0.100,3000,30,10,4,1,4
0.100,3000,50,6,5,1,2
0.100,3000,100,13,5,1,4
0.100,3000,200,23,3,1,7
0.100,3000,250,40,3,1,14
0.100,6000,30,6,2,1,16
0.100,6000,50,9,4,1,6
0.100,6000,100,13,2,1,10
0.100,6000,200,24,2,1,19
0.100,6000,250,39,3,1,39
0.100,8000,30,6,2,1,45
0.100,8000,50,10,2,1,10
0.100,8000,100,11,2,1,14
0.100,8000,200,26,2,1,28
0.100,8000,250,32,3,1,55
0.100,8050,30,9,3,1,1
0.100,8050,50,13,3,1,9
0.100,8050,100,12,4,1,9
0.100,8050,200,29,3,1,15
0.100,8050,250,26,2,1,29
0.007,300,30,3,8,0,46
0.007,300,50,5,6,0,1
0.007,300,100,7,2,0,10
0.007,300,200,13,5,0,814
0.007,300,250,11,7,0,839
0.007,1000,30,2,4,0,1
0.007,1000,50,2,3,0,1
0.007,1000,100,2,5,0,1
0.007,1000,200,3,6,0,1
0.007,1000,250,9,5,0,1
0.007,3000,30,5,8,1,2
0.007,3000,50,7,17,1,3
0.007,3000,100,7,12,0,4
0.007,3000,200,12,2,0,2
0.007,3000,250,11,5,0,4
0.007,6000,30,4,7,1,7
0.007,6000,50,5,4,1,13
0.007,6000,100,8,15,1,17
0.007,6000,200,6,3,0,6
0.007,6000,250,4,5,0,9
0.007,8000,30,5,3,1,19
0.007,8000,50,6,8,1,36
0.007,8000,100,5,9,1,48
0.007,8000,200,7,12,1,9
0.007,8000,250,11,4,1,15
0.007,8050,30,4,3,1,29
0.007,8050,50,7,7,1,44
0.007,8050,100,6,5,1,1
0.007,8050,200,5,6,0,9
0.007,8050,250,3,6,0,9
0.010,300,30,3,6,0,16
0.010,300,50,2,5,0,32
0.010,300,100,11,5,0,57
0.010,300,200,7,6,0,1
0.010,300,250,8,3,0,5
0.010,1000,30,1,5,0,791
0.010,1000,50,4,7,0,887
0.010,1000,100,8,4,1,1
0.010,1000,200,8,4,1,1
0.010,1000,250,6,2,1,1
0.010,3000,30,7,5,1,1
0.010,3000,50,3,7,0,1
0.010,3000,100,8,11,1,2
0.010,3000,200,9,9,1,3
0.010,3000,250,16,24,1,4
0.010,6000,30,5,5,1,2
0.010,6000,50,1,11,0,4
0.010,6000,100,2,6,0,7
0.010,6000,200,7,5,1,12
0.010,6000,250,5,4,1,17
0.010,8000,30,4,13,1,6
0.010,8000,50,7,8,1,9
0.010,8000,100,6,7,1,18
0.010,8000,200,3,8,0,36
0.010,8000,250,11,10,1,44
0.010,8050,30,5,5,1,9
0.010,8050,50,4,4,1,14
0.010,8050,100,4,6,1,28
0.010,8050,200,7,9,1,1
0.010,8050,250,8,7,1,1
0.030,300,30,5,3,1,1
0.030,300,50,3,2,0,9
0.030,300,100,7,4,0,10
0.030,300,200,11,5,0,16
0.030,300,250,18,7,0,23
0.030,1000,30,4,3,1,56
0.030,1000,50,7,2,1,57
0.030,1000,100,7,2,1,804
0.030,1000,200,8,5,0,908
0.030,1000,250,13,2,1,1
0.030,3000,30,7,3,1,1
0.030,3000,50,5,4,1,1
0.030,3000,100,12,5,1,1
0.030,3000,200,16,3,1,1
0.030,3000,250,24,15,1,2
0.030,6000,30,6,4,1,4
0.030,6000,50,6,2,1,4
0.030,6000,100,5,3,1,2
0.030,6000,200,16,2,1,4
0.030,6000,250,19,3,1,7
0.030,8000,30,5,3,1,14
0.030,8000,50,5,2,1,17
0.030,8000,100,7,3,1,6
0.030,8000,200,10,3,1,9
0.030,8000,250,17,3,1,18
0.030,8050,30,5,2,1,38
0.030,8050,50,6,2,1,48
0.030,8050,100,7,3,1,9
0.030,8050,200,14,3,1,15
0.030,8050,250,11,2,1,28
0.070,300,30,8,2,1,56
0.070,300,50,10,3,1,1
0.070,300,100,8,5,0,9
0.070,300,200,18,2,1,10
0.070,300,250,28,4,0,14
0.070,1000,30,6,2,1,29
0.070,1000,50,9,3,1,56
0.070,1000,100,8,6,1,1
0.070,1000,200,17,2,1,11
0.070,1000,250,20,2,1,919
0.070,3000,30,6,2,1,850
0.070,3000,50,8,3,1,1
0.070,3000,100,16,2,1,1
0.070,3000,200,19,3,1,1
0.070,3000,250,34,4,1,1
0.070,6000,30,7,2,1,1
0.070,6000,50,8,3,1,2
0.070,6000,100,8,4,1,3
0.070,6000,200,15,2,1,5
0.070,6000,250,30,2,1,2
0.070,8000,30,5,3,1,4
0.070,8000,50,9,2,1,7
0.070,8000,100,13,2,1,13
0.070,8000,200,19,2,1,14
0.070,8000,250,19,4,1,6
0.070,8050,30,6,2,1,10
0.070,8050,50,7,2,1,18
0.070,8050,100,9,2,1,34
0.070,8050,200,25,2,1,51
0.070,8050,250,18,3,1,10
0.080,300,30,4,5,1,14
0.080,300,50,9,5,1,29
0.080,300,100,13,2,1,53
0.080,300,200,22,11,0,1
0.080,300,250,23,4,1,9
0.080,1000,30,9,2,1,15
0.080,1000,50,10,3,1,30
0.080,1000,100,6,4,0,57
0.080,1000,200,23,3,1,1
0.080,1000,250,18,2,1,1
0.080,3000,30,7,4,1,801
0.080,3000,50,6,3,1,959
0.080,3000,100,10,6,1,1
0.080,3000,200,26,2,1,1
0.080,3000,250,31,2,1,1
0.080,6000,30,6,3,1,1
0.080,6000,50,11,3,1,1
0.080,6000,100,16,2,1,2
0.080,6000,200,20,4,1,3
0.080,6000,250,27,2,1,4
0.080,8000,30,10,2,1,2
0.080,8000,50,7,2,1,4
0.080,8000,100,13,5,1,6
0.080,8000,200,26,4,1,13
0.080,8000,250,26,3,1,17
0.080,8050,30,4,2,1,6
0.080,8050,50,8,2,1,10
0.080,8050,100,10,2,1,20
0.080,8050,200,11,2,1,35
0.080,8050,250,32,3,1,44
0.100,300,30,6,4,1,11
0.100,300,50,12,4,1,15
0.100,300,100,19,2,1,29
0.100,300,200,33,3,1,57
0.100,300,250,30,4,1,1
0.100,1000,30,8,2,1,15
0.100,1000,50,8,3,1,10
0.100,1000,100,11,3,1,16
0.100,1000,200,21,5,1,29
0.100,1000,250,24,2,1,57
0.100,3000,30,7,3,1,1
0.100,3000,50,10,3,1,13
0.100,3000,100,18,3,1,853
0.100,3000,200,28,3,1,838
0.100,3000,250,31,2,1,1
0.100,6000,30,5,4,1,1
0.100,6000,50,11,2,1,1
0.100,6000,100,16,3,1,1
0.100,6000,200,27,2,1,1
0.100,6000,250,31,2,1,2
0.100,8000,30,5,2,1,3
0.100,8000,50,8,4,1,4
0.100,8000,100,13,3,1,2
0.100,8000,200,23,2,1,4
0.100,8000,250,42,2,1,7
0.100,8050,30,7,3,1,13
0.100,8050,50,6,3,1,17
0.100,8050,100,10,2,1,6
0.100,8050,200,30,3,1,10
0.100,8050,250,31,2,1,19
0.007,300,30,1,2,0,37
0.007,300,50,1,7,0,48
0.007,300,100,6,4,0,9
0.007,300,200,9,3,0,14
0.007,300,250,16,5,1,28
0.007,1000,30,2,3,0,55
0.007,1000,50,1,5,0,56
0.007,1000,100,5,3,0,10
0.007,1000,200,5,4,0,12
0.007,1000,250,2,3,0,28
0.007,3000,30,2,14,0,56
0.007,3000,50,7,25,1,1
0.007,3000,100,7,9,0,10
0.007,3000,200,11,9,1,795
0.007,3000,250,13,14,0,852
0.007,6000,30,6,11,1,1
0.007,6000,50,5,19,1,1
0.007,6000,100,7,4,1,1
0.007,6000,200,6,6,1,1
0.007,6000,250,8,5,1,1
0.007,8000,30,2,5,0,2
0.007,8000,50,4,5,1,3
0.007,8000,100,1,14,0,4
0.007,8000,200,8,5,1,2
0.007,8000,250,7,10,0,4
0.007,8050,30,4,5,1,7
0.007,8050,50,3,8,0,12
0.007,8050,100,4,3,1,17
0.007,8050,200,8,10,1,6
0.007,8050,250,9,13,1,10
0.010,300,30,3,5,0,19
0.010,300,50,6,4,0,36
0.010,300,100,5,7,0,48
0.010,300,200,4,3,0,9
0.010,300,250,14,7,0,14
0.010,1000,30,1,2,0,25
0.010,1000,50,2,3,0,55
0.010,1000,100,1,5,0,1
0.010,1000,200,4,5,0,10
0.010,1000,250,10,5,1,10
0.010,3000,30,6,14,1,16
0.010,3000,50,7,9,1,29
0.010,3000,100,9,9,1,57
0.010,3000,200,11,7,1,1
0.010,3000,250,12,6,1,9
0.010,6000,30,4,11,1,852
0.010,6000,50,7,7,1,864
0.010,6000,100,3,6,0,1
0.010,6000,200,12,3,0,1
0.010,6000,250,10,7,1,1
0.010,8000,30,4,4,1,1
0.010,8000,50,5,11,1,1
0.010,8000,100,9,8,1,2
0.010,8000,200,7,2,1,3
0.010,8000,250,11,7,1,4
0.010,8050,30,3,4,0,3
0.010,8050,50,4,12,1,4
0.010,8050,100,8,2,1,7
0.010,8050,200,6,6,1,11
0.010,8050,250,6,10,1,14
0.030,300,30,1,5,0,6
0.030,300,50,1,8,0,9
0.030,300,100,7,4,1,19
0.030,300,200,14,4,1,36
0.030,300,250,18,6,1,48
0.030,1000,30,2,5,0,10
0.030,1000,50,6,2,1,15
0.030,1000,100,9,3,1,30
0.030,1000,200,6,3,0,49
0.030,1000,250,12,2,1,1
0.030,3000,30,5,4,1,9
0.030,3000,50,7,4,1,10
0.030,3000,100,11,9,1,15
0.030,3000,200,16,6,1,30
0.030,3000,250,26,9,1,56
0.030,6000,30,5,8,1,1
0.030,6000,50,7,3,1,11
0.030,6000,100,8,4,1,819
0.030,6000,200,13,5,1,821
0.030,6000,250,16,6,1,1
0.030,8000,30,8,4,1,1
0.030,8000,50,4,3,1,1
0.030,8000,100,11,5,1,1
0.030,8000,200,9,3,1,1
0.030,8000,250,17,3,1,2
0.030,8050,30,6,5,1,4
0.030,8050,50,7,6,1,4
0.030,8050,100,6,2,1,2
0.030,8050,200,17,3,1,3
0.030,8050,250,16,5,1,7
0.070,300,30,8,3,1,14
0.070,300,50,7,4,0,17
0.070,300,100,9,2,1,6
0.070,300,200,18,3,1,10
0.070,300,250,26,2,1,19
0.070,1000,30,5,2,1,38
0.070,1000,50,8,2,1,45
0.070,1000,100,11,2,1,9
0.070,1000,200,19,2,1,16
0.070,1000,250,20,3,1,32
0.070,3000,30,5,4,1,56
0.070,3000,50,10,6,1,1
0.070,3000,100,10,2,1,11
0.070,3000,200,24,5,1,9
0.070,3000,250,19,3,1,15
0.070,6000,30,7,5,1,25
0.070,6000,50,6,2,1,57
0.070,6000,100,14,3,1,1
0.070,6000,200,20,2,1,10
0.070,6000,250,14,3,1,846
0.070,8000,30,6,2,1,902
0.070,8000,50,8,2,1,1
0.070,8000,100,11,3,1,1
0.070,8000,200,18,5,1,1
0.070,8000,250,22,2,1,1
0.070,8050,30,6,4,1,1
0.070,8050,50,10,3,1,2
0.070,8050,100,11,3,1,3
0.070,8050,200,18,2,1,4
0.070,8050,250,23,2,1,2
0.080,300,30,6,4,1,4
0.080,300,50,9,4,1,7
0.080,300,100,20,4,1,13
0.080,300,200,25,3,1,14
0.080,300,250,28,3,1,6
0.080,1000,30,7,3,1,10
0.080,1000,50,7,2,1,20
0.080,1000,100,8,3,1,40
0.080,1000,200,21,3,1,46
0.080,1000,250,22,2,1,9
0.080,3000,30,4,3,1,14
0.080,3000,50,5,4,1,28
0.080,3000,100,14,2,1,55
0.080,3000,200,26,2,1,1
0.080,3000,250,32,3,1,12
0.080,6000,30,6,2,1,10
0.080,6000,50,8,3,1,15
0.080,6000,100,15,3,1,26
0.080,6000,200,25,2,1,56
0.080,6000,250,29,3,1,1
0.080,8000,30,7,2,1,12
0.080,8000,50,13,2,1,927
0.080,8000,100,16,3,1,895
0.080,8000,200,20,3,1,1
0.080,8000,250,26,3,1,1
0.080,8050,30,8,2,1,1
0.080,8050,50,8,2,1,1
0.080,8050,100,8,3,1,1
0.080,8050,200,22,3,1,2
0.080,8050,250,26,4,1,3
0.100,300,30,7,2,1,4
0.100,300,50,9,2,1,2
0.100,300,100,12,2,1,4
0.100,300,200,32,2,1,7
0.100,300,250,31,2,1,14
0.100,1000,30,7,2,1,18
0.100,1000,50,9,3,1,6
0.100,1000,100,14,3,1,10
0.100,1000,200,24,2,1,18
0.100,1000,250,30,2,1,36
0.100,3000,30,7,3,1,44
0.100,3000,50,10,3,1,10
0.100,3000,100,15,4,1,16
0.100,3000,200,31,3,1,23
0.100,3000,250,39,4,1,43
0.100,6000,30,8,3,1,1
0.100,6000,50,7,2,1,9
0.100,6000,100,10,2,1,9
0.100,6000,200,27,2,1,14
0.100,6000,250,35,2,1,29
0.100,8000,30,5,3,1,56
0.100,8000,50,12,2,1,1
0.100,8000,100,15,2,1,11
0.100,8000,200,23,2,1,814
0.100,8000,250,30,2,1,855
0.100,8050,30,9,2,1,1
0.100,8050,50,9,2,1,1
0.100,8050,100,11,2,1,1
0.100,8050,200,24,3,1,1
0.100,8050,250,42,3,1,1
0.007,300,30,3,2,0,2
0.007,300,50,6,4,0,3
0.007,300,100,4,7,0,4
0.007,300,200,10,7,0,2
0.007,300,250,11,4,0,4
0.007,1000,30,1,5,0,7
0.007,1000,50,1,3,0,13
0.007,1000,100,2,6,0,17
0.007,1000,200,5,4,0,7
0.007,1000,250,6,2,1,10
0.007,3000,30,4,10,1,20
0.007,3000,50,3,27,0,35
0.007,3000,100,8,14,1,50
0.007,3000,200,15,19,1,10
0.007,3000,250,15,6,1,15
0.007,6000,30,1,5,0,29
0.007,6000,50,4,8,1,49
0.007,6000,100,3,4,0,1
0.007,6000,200,7,15,1,12
0.007,6000,250,9,8,1,8
0.007,8000,30,1,4,0,16
0.007,8000,50,5,3,1,29
0.007,8000,100,5,6,1,55
0.007,8000,200,8,6,1,1
0.007,8000,250,10,8,1,11
0.007,8050,30,2,8,0,947
0.007,8050,50,5,6,1,879
0.007,8050,100,7,7,1,1
0.007,8050,200,6,3,1,1
0.007,8050,250,9,6,1,1
0.010,300,30,6,5,1,1
0.010,300,50,2,4,0,1
0.010,300,100,4,5,0,2
0.010,300,200,10,5,0,3
0.010,300,250,13,10,0,4
0.010,1000,30,1,3,0,2
0.010,1000,50,1,9,0,4
0.010,1000,100,3,2,0,7
0.010,1000,200,8,4,1,14
0.010,1000,250,8,9,0,17
0.010,3000,30,2,9,0,6
0.010,3000,50,2,9,0,10
0.010,3000,100,5,10,0,18
0.010,3000,200,12,22,1,35
0.010,3000,250,12,9,1,47
0.010,6000,30,3,11,0,7
0.010,6000,50,1,6,0,15
0.010,6000,100,5,8,0,28
0.010,6000,200,13,9,1,56
0.010,6000,250,7,4,1,1
0.010,8000,30,4,6,1,11
0.010,8000,50,4,5,1,10
0.010,8000,100,10,3,1,15
0.010,8000,200,8,6,1,29
0.010,8000,250,9,10,0,57
0.010,8050,30,4,6,1,1
0.010,8050,50,4,12,0,11
0.010,8050,100,4,3,1,899
0.010,8050,200,7,2,1,902
0.010,8050,250,7,7,1,1
0.030,300,30,2,6,0,1
0.030,300,50,9,4,1,1
0.030,300,100,5,6,0,1
0.030,300,200,17,6,0,1
0.030,300,250,21,8,0,2
0.030,1000,30,7,2,1,3
0.030,1000,50,5,2,1,4
0.030,1000,100,5,4,1,3
0.030,1000,200,17,2,1,4
0.030,1000,250,19,3,1,7
0.030,3000,30,6,2,1,14
0.030,3000,50,4,8,1,14
0.030,3000,100,7,11,0,6
0.030,3000,200,23,5,1,9
0.030,3000,250,17,6,1,19
0.030,6000,30,5,7,1,36
0.030,6000,50,5,3,1,51
0.030,6000,100,9,5,1,9
0.030,6000,200,20,3,1,15
0.030,6000,250,15,5,1,29
0.030,8000,30,6,3,1,48
0.030,8000,50,4,2,1,1
0.030,8000,100,8,3,1,10
0.030,8000,200,7,5,1,8
0.030,8000,250,17,4,1,15
0.030,8050,30,7,3,1,29
0.030,8050,50,5,2,1,55
0.030,8050,100,12,5,1,1
0.030,8050,200,20,4,1,823
0.030,8050,250,15,3,1,842
0.070,300,30,5,7,1,1
0.070,300,50,8,3,1,1
0.070,300,100,10,4,0,1
0.070,300,200,26,3,1,1
0.070,300,250,30,3,1,1
0.070,1000,30,7,2,1,2
0.070,1000,50,7,2,1,3
0.070,1000,100,12,2,1,4
0.070,1000,200,16,3,1,3
0.070,1000,250,29,2,1,4
0.070,3000,30,9,4,1,7
0.070,3000,50,11,3,1,12
0.070,3000,100,12,4,1,17
0.070,3000,200,21,5,1,6
0.070,3000,250,30,4,1,9
0.070,6000,30,10,2,1,18
0.070,6000,50,9,3,1,38
0.070,6000,100,14,3,1,45
0.070,6000,200,21,2,1,9
0.070,6000,250,18,6,1,16
0.070,8000,30,6,2,1,27
0.070,8000,50,8,3,1,53
0.070,8000,100,11,2,1,1
0.070,8000,200,18,2,1,10
0.070,8000,250,30,2,1,8
0.070,8050,30,6,2,1,15
0.070,8050,50,9,2,1,27
0.070,8050,100,13,3,1,56
0.070,8050,200,24,3,1,1
0.070,8050,250,22,2,1,11
0.080,300,30,6,2,1,898
0.080,300,50,8,3,1,927
0.080,300,100,14,3,1,1
0.080,300,200,19,7,0,1
0.080,300,250,26,6,1,1
0.080,1000,30,7,6,1,1
0.080,1000,50,7,2,1,1
0.080,1000,100,14,2,1,2
0.080,1000,200,23,2,1,3
0.080,1000,250,22,2,1,4
0.080,3000,30,6,3,1,2
0.080,3000,50,7,3,1,4
0.080,3000,100,14,4,1,7
0.080,3000,200,35,3,1,14
0.080,3000,250,31,4,1,17
0.080,6000,30,7,2,1,6
0.080,6000,50,8,3,1,10
0.080,6000,100,10,2,1,18
0.080,6000,200,25,4,1,38
0.080,6000,250,33,4,1,44
0.080,8000,30,6,3,1,9
0.080,8000,50,10,2,1,15
0.080,8000,100,15,3,1,29
0.080,8000,200,20,4,1,56
0.080,8000,250,19,3,1,1
0.080,8050,30,4,3,1,11
0.080,8050,50,7,3,1,10
0.080,8050,100,11,3,1,15
0.080,8050,200,20,3,1,30
0.080,8050,250,25,3,1,56
0.100,300,30,4,4,0,1
0.100,300,50,11,2,1,3
0.100,300,100,13,4,1,855
0.100,300,200,27,3,1,862
0.100,300,250,31,2,1,1
0.100,1000,30,7,2,1,1
0.100,1000,50,12,2,1,1
0.100,1000,100,18,2,1,1
0.100,1000,200,20,2,1,1
0.100,1000,250,26,2,1,2
0.100,3000,30,7,4,1,3
0.100,3000,50,13,3,1,4
0.100,3000,100,10,4,1,2
0.100,3000,200,33,2,1,4
0.100,3000,250,27,3,1,7
0.100,6000,30,8,2,1,13
0.100,6000,50,8,2,1,18
0.100,6000,100,14,2,1,7
0.100,6000,200,26,5,1,10
0.100,6000,250,30,3,1,17
0.100,8000,30,5,2,1,37
0.100,8000,50,8,3,1,48
0.100,8000,100,12,3,1,10
0.100,8000,200,25,4,1,15
0.100,8000,250,25,2,1,31
0.100,8050,30,5,2,1,55
0.100,8050,50,7,3,1,57
0.100,8050,100,16,2,1,10
0.100,8050,200,30,2,1,16
0.100,8050,250,24,4,1,29
0.007,300,30,1,3,0,57
0.007,300,50,3,5,0,55
0.007,300,100,5,5,0,821
0.007,300,200,11,2,0,987
0.007,300,250,9,8,0,1
0.007,1000,30,1,4,0,1
0.007,1000,50,1,6,0,1
0.007,1000,100,1,5,0,1
0.007,1000,200,5,4,0,1
0.007,1000,250,6,3,0,2
0.007,3000,30,1,14,0,3
0.007,3000,50,5,15,0,4
0.007,3000,100,7,17,0,2
0.007,3000,200,11,14,0,3
0.007,3000,250,7,7,0,7
0.007,6000,30,5,3,1,12
0.007,6000,50,3,7,0,17
0.007,6000,100,10,8,1,5
0.007,6000,200,7,11,0,10
0.007,6000,250,9,4,1,16
0.007,8000,30,4,13,1,37
0.007,8000,50,5,5,1,48
0.007,8000,100,7,9,1,10
0.007,8000,200,6,3,1,15
0.007,8000,250,6,5,1,28
0.007,8050,30,2,10,0,55
0.007,8050,50,2,6,0,1
0.007,8050,100,4,10,1,13
0.007,8050,200,4,11,0,9
0.007,8050,250,10,8,1,15
0.010,300,30,3,3,0,25
0.010,300,50,3,3,0,56
0.010,300,100,4,3,0,1
0.010,300,200,15,9,1,10
0.010,300,250,10,7,0,798
0.010,1000,30,2,5,0,842
