MiningPower,NON,Height,Onchain,Orphan,BuildTime
0.010,6000,100,0,0,14
0.010,6000,200,1,3,21
0.010,6000,250,0,3,40
0.010,8000,30,0,1,1
0.010,8000,50,0,0,16
0.010,8000,100,0,1,919
0.010,8050,30,1,0,1
0.010,8050,50,1,0,1
0.010,8050,100,3,0,1
0.010,8050,200,2,0,2
0.030,300,30,0,0,1
0.030,300,50,0,0,1
0.030,300,100,0,0,3
0.030,300,200,2,6,4
0.030,300,250,1,7,6
0.030,1000,30,1,0,3
0.030,1000,50,1,0,5
0.030,1000,100,1,0,10
0.030,1000,200,1,5,19
0.030,1000,250,4,1,24
0.030,3000,30,1,0,10
0.030,3000,50,0,0,15
0.030,3000,100,4,1,26
0.030,3000,200,2,5,58
0.030,3000,250,3,5,1
0.030,6000,30,0,0,5
0.030,6000,50,1,2,14
0.030,6000,100,2,2,21
0.030,6000,200,2,0,39
0.030,6000,250,2,1,1
0.030,8000,30,0,1,24
0.030,8000,50,0,0,13
0.030,8000,100,2,2,21
0.030,8050,30,0,0,37
0.030,8050,50,1,0,1
0.030,8050,100,3,1,10
0.070,300,30,2,3,928
0.070,300,50,2,5,985
0.070,300,100,2,6,1
0.070,300,200,1,14,2
0.070,300,250,1,17,2
0.070,1000,30,0,0,1
0.070,1000,50,3,1,1
0.070,1000,100,6,3,3
0.070,1000,200,8,5,5
0.070,1000,250,17,2,7
0.070,3000,30,1,1,3
0.070,3000,50,2,0,5
0.070,3000,100,2,1,10
0.070,3000,200,6,5,19
0.070,3000,250,7,7,25
0.070,6000,30,1,1,9
0.070,6000,50,0,4,15
0.070,6000,100,2,6,27
0.070,6000,200,4,9,59
0.070,8000,30,0,1,1
0.070,8000,50,0,1,6
0.070,8000,100,1,5,15
0.070,8000,200,0,19,25
0.070,8050,30,4,1,47
0.070,8050,50,6,1,12
0.070,8050,100,5,1,22
0.070,8050,200,8,3,38
0.080,300,30,2,2,1
0.080,300,50,3,6,1
0.080,300,100,0,9,1
0.080,300,200,3,20,1
0.080,300,250,3,14,2
0.080,1000,30,0,1,1
0.080,1000,50,8,0,2
0.080,1000,100,6,4,3
0.080,1000,200,9,10,5
0.080,1000,250,9,7,6
0.080,3000,30,1,1,4
0.080,3000,50,4,2,5
0.080,3000,100,2,3,10
0.080,3000,200,11,5,19
0.080,3000,250,10,13,25
0.080,6000,30,0,0,10
0.080,6000,50,3,3,14
0.080,6000,100,3,4,28
0.080,6000,200,4,5,54
0.080,8000,30,0,2,1
0.080,8000,50,1,2,5
0.080,8000,100,1,2,14
0.080,8000,200,2,13,18
0.080,8050,30,2,0,37
0.080,8050,50,2,4,13
0.080,8050,100,5,2,22
0.080,8050,200,12,8,38
0.100,300,30,0,3,879
0.100,300,50,1,4,985
0.100,300,100,3,2,1
0.100,300,200,12,13,2
0.100,300,250,7,17,2
0.100,1000,30,3,0,1
0.100,1000,50,4,2,2
0.100,1000,100,7,4,3
0.100,1000,200,15,8,5
0.100,1000,250,21,10,6
0.100,3000,30,2,2,4
0.100,3000,50,3,7,6
0.100,3000,100,3,5,10
0.100,3000,200,12,6,20
0.100,3000,250,13,13,28
0.100,6000,30,2,1,9
0.100,6000,50,1,3,14
0.100,6000,100,4,6,29
0.100,6000,200,23,6,59
0.100,6000,250,18,7,1
0.100,8000,30,0,2,12
0.100,8000,50,2,3,13
0.100,8000,100,3,6,23
0.100,8000,200,5,15,41
0.100,8050,30,0,0,14
0.100,8050,50,0,1,20
0.100,8050,100,5,4,39
0.100,8050,200,20,3,890
0.007,300,30,0,0,1
0.007,300,50,0,1,1
0.007,300,100,0,1,2
0.007,300,200,0,2,2
0.007,300,250,2,0,1
0.007,1000,30,0,0,1
0.007,1000,50,1,0,3
0.007,1000,100,2,0,5
0.007,1000,200,0,1,6
0.007,1000,250,2,2,3
0.007,3000,30,0,0,5
0.007,3000,50,0,0,10
0.007,3000,100,0,1,20
0.007,3000,200,1,0,24
0.007,3000,250,3,2,8
0.007,6000,30,0,0,15
0.007,6000,50,0,0,29
0.007,6000,100,0,0,57
0.007,6000,200,0,0,1
0.007,6000,250,0,1,10
0.007,8000,30,0,0,13
0.007,8000,50,0,1,20
0.007,8000,100,0,0,35
0.007,8000,200,0,1,14
0.007,8050,30,0,0,21
0.007,8050,50,0,0,40
0.007,8050,100,0,0,993
0.007,8050,200,2,0,996
0.010,300,30,0,0,1
0.010,300,50,0,0,1
0.010,300,100,0,1,2
0.010,300,200,0,2,1
0.010,300,250,2,1,1
0.010,1000,30,1,0,3
0.010,1000,50,1,0,5
0.010,1000,100,2,0,6
0.010,1000,200,2,1,4
0.010,1000,250,3,1,5
0.010,3000,30,1,0,10
0.010,3000,50,0,1,19
0.010,3000,100,0,2,24
0.010,3000,200,0,3,10
0.010,3000,250,2,2,14
0.010,6000,30,0,0,28
0.010,6000,50,0,0,54
0.010,6000,100,3,1,1
0.010,6000,200,2,3,7
0.010,6000,250,1,3,14
0.010,8000,30,0,0,21
0.010,8000,50,0,1,43
0.010,8000,100,0,0,1
0.010,8000,200,0,3,20
0.010,8050,30,0,0,14
0.010,8050,50,0,0,20
0.010,8050,100,1,0,40
0.010,8050,200,1,0,1
0.030,300,30,0,0,20
0.030,300,50,1,2,857
0.030,300,100,1,4,975
0.030,300,200,3,5,1
0.030,300,250,0,5,1
0.030,1000,30,1,2,2
0.030,1000,50,1,1,1
0.030,1000,100,5,2,1
0.030,1000,200,5,2,3
0.030,1000,250,4,6,5
0.030,3000,30,0,0,6
0.030,3000,50,0,2,3
0.030,3000,100,2,1,5
0.030,3000,200,3,11,9
0.030,3000,250,5,6,20
0.030,6000,30,0,2,23
0.030,6000,50,2,2,9
0.030,6000,100,1,1,15
0.030,6000,200,0,5,31
0.030,6000,250,1,1,56
0.030,8000,30,0,1,1
0.030,8000,50,0,1,4
0.030,8000,100,0,4,14
0.030,8000,200,2,4,21
0.030,8050,30,0,1,50
0.030,8050,50,4,2,14
0.030,8050,100,1,2,20
0.070,300,30,0,2,40
0.070,300,50,0,1,1
0.070,300,100,3,6,24
0.070,300,200,6,8,867
0.070,300,250,0,19,1
0.070,1000,30,0,2,1
0.070,1000,50,4,1,1
0.070,1000,100,4,4,2
0.070,1000,200,7,6,1
0.070,1000,250,13,9,1
0.070,3000,30,1,2,3
0.070,3000,50,1,0,5
0.070,3000,100,5,3,7
0.070,3000,200,10,9,3
0.070,3000,250,13,6,5
0.070,6000,30,1,0,10
0.070,6000,50,2,1,19
0.070,6000,100,4,8,22
0.070,6000,200,8,8,9
0.070,6000,250,9,6,14
0.070,8000,30,0,4,27
0.070,8000,50,0,6,53
0.070,8000,100,5,6,1
0.070,8000,200,5,9,9
0.070,8050,30,3,0,13
0.070,8050,50,0,2,23
0.070,8050,100,4,0,43
0.070,8050,200,13,4,14
0.080,300,30,3,1,23
0.080,300,50,1,1,44
0.080,300,100,0,5,901
0.080,300,200,2,8,1
0.080,300,250,4,15,1
0.080,1000,30,1,0,1
0.080,1000,50,3,1,2
0.080,1000,100,2,9,1
0.080,1000,200,8,5,1
0.080,1000,250,20,7,3
0.080,3000,30,0,4,5
0.080,3000,50,2,4,6
0.080,3000,100,6,1,3
0.080,3000,200,15,8,5
0.080,3000,250,13,7,10
0.080,6000,30,3,0,19
0.080,6000,50,5,2,25
0.080,6000,100,1,6,10
0.080,6000,200,10,11,17
0.080,8000,30,1,2,30
0.080,8000,50,0,5,1
0.080,8000,100,1,6,15
0.080,8050,30,2,0,23
0.080,8050,50,3,0,44
0.080,8050,100,8,1,1
0.080,8050,200,13,7,23
0.100,300,30,0,1,14
0.100,300,50,0,3,20
0.100,300,100,3,5,37
0.100,300,200,5,15,1
0.100,300,250,12,18,24
0.100,1000,30,1,2,900
0.100,1000,50,5,2,1
0.100,1000,100,8,2,1
0.100,1000,200,22,4,1
0.100,1000,250,18,13,2
0.100,3000,30,2,2,1
0.100,3000,50,1,4,1
0.100,3000,100,3,5,3
0.100,3000,200,10,9,5
0.100,3000,250,8,17,6
0.100,6000,30,0,1,3
0.100,6000,50,4,1,6
0.100,6000,100,11,6,10
0.100,6000,200,14,8,22
0.100,8000,30,2,1,25
0.100,8000,50,0,3,10
0.100,8000,100,2,5,14
0.100,8050,30,1,6,26
0.100,8050,50,5,2,53
0.100,8050,100,11,2,15
0.100,8050,200,18,4,21
0.007,300,30,0,0,46
0.007,300,50,0,1,1
0.007,300,100,0,1,9
0.007,300,200,0,1,13
0.007,300,250,0,3,20
0.007,1000,30,0,0,40
0.007,1000,50,2,0,1
0.007,1000,100,1,0,23
0.007,1000,200,5,0,925
0.007,1000,250,4,0,1
0.007,3000,30,0,0,1
0.007,3000,50,1,0,2
0.007,3000,100,0,0,2
0.007,3000,200,0,0,1
0.007,3000,250,1,1,1
0.007,6000,30,0,0,3
0.007,6000,50,0,0,5
0.007,6000,100,0,1,6
0.007,6000,200,1,1,3
0.007,6000,250,0,0,6
0.007,8000,30,0,0,10
0.007,8000,50,0,1,20
0.007,8000,100,0,2,27
0.007,8000,200,0,0,9
0.007,8050,30,0,0,15
0.007,8050,50,0,0,28
0.007,8050,100,1,0,59
0.007,8050,200,0,0,1
0.010,300,30,0,0,8
0.010,300,50,0,1,13
0.010,300,100,0,0,23
0.010,300,200,0,2,43
0.010,300,250,0,3,1
0.010,1000,30,0,0,25
0.010,1000,50,0,0,14
0.010,1000,100,0,0,24
0.010,1000,200,1,1,38
0.010,1000,250,5,2,1
0.010,3000,30,1,0,20
0.010,3000,50,1,0,955
0.010,3000,100,0,2,955
0.010,3000,200,4,3,1
0.010,3000,250,0,1,1
0.010,6000,30,0,1,2
0.010,6000,50,0,0,1
0.010,6000,100,0,1,1
0.010,6000,200,2,0,3
0.010,6000,250,1,2,5
0.010,8000,30,1,2,7
0.010,8000,50,1,2,3
0.010,8000,100,1,1,5
0.010,8000,200,0,7,9
0.010,8050,30,0,0,20
0.010,8050,50,0,0,22
0.010,8050,100,1,1,10
0.010,8050,200,2,0,14
0.030,300,30,0,1,28
0.030,300,50,0,0,50
0.030,300,100,0,1,1
0.030,300,200,0,4,9
0.030,300,250,2,12,12
0.030,1000,30,0,2,21
0.030,1000,50,1,0,41
0.030,1000,100,4,2,1
0.030,1000,200,7,2,24
0.030,1000,250,10,6,13
0.030,3000,30,0,1,23
0.030,3000,50,0,2,42
0.030,3000,100,0,2,1
0.030,3000,200,1,1,15
0.030,3000,250,3,2,862
0.030,6000,30,0,0,1
0.030,6000,50,1,2,1
0.030,6000,100,1,2,1
0.030,6000,200,5,3,2
0.030,8000,30,0,2,1
0.030,8000,50,0,2,1
0.030,8000,100,0,2,3
0.030,8000,200,0,6,5
0.030,8050,30,3,0,6
0.030,8050,50,2,1,3
0.030,8050,100,5,1,5
0.070,300,30,0,2,9
0.070,300,50,0,2,19
0.070,300,100,3,3,24
0.070,300,200,6,9,10
0.070,300,250,8,17,15
0.070,1000,30,1,1,25
0.070,1000,50,2,0,51
0.070,1000,100,5,2,1
0.070,1000,200,13,2,9
0.070,1000,250,19,7,15
0.070,3000,30,1,1,18
0.070,3000,50,1,3,35
0.070,3000,100,5,4,1
0.070,3000,200,5,5,20
0.070,3000,250,10,7,14
0.070,6000,30,3,0,21
0.070,6000,50,1,2,38
0.070,6000,100,1,2,1
0.070,6000,200,7,10,10
0.070,6000,250,7,7,873
0.070,8000,30,0,1,967
0.070,8000,50,4,4,1
0.070,8000,100,2,6,1
0.070,8000,200,10,9,2
0.070,8050,30,2,1,1
0.070,8050,50,5,2,1
0.070,8050,100,8,1,3
0.080,300,30,2,4,5
0.080,300,50,2,3,6
0.080,300,100,0,10,4
0.080,300,200,5,8,5
0.080,300,250,5,18,11
0.080,1000,30,1,0,20
0.080,1000,50,1,2,25
0.080,1000,100,8,3,9
0.080,1000,200,11,7,14
0.080,1000,250,15,7,30
0.080,3000,30,0,1,1
0.080,3000,50,2,4,1
0.080,3000,100,2,2,2
0.080,3000,200,9,8,16
0.080,3000,250,7,8,23
0.080,6000,30,2,2,44
0.080,6000,50,4,1,1
0.080,6000,100,6,7,23
0.080,6000,200,7,11,13
0.080,6000,250,10,13,18
0.080,8000,30,0,1,40
0.080,8000,50,2,2,877
0.080,8000,100,2,7,1
0.080,8000,200,4,12,1
0.080,8050,30,1,1,1
0.080,8050,50,2,0,2
0.080,8050,100,9,3,1
0.080,8050,200,13,4,2
0.100,300,30,1,1,3
0.100,300,50,0,3,5
0.100,300,100,3,4,6
0.100,300,200,4,16,4
0.100,300,250,8,15,5
0.100,1000,30,2,4,9
0.100,1000,50,1,1,19
0.100,1000,100,8,2,25
0.100,1000,200,26,5,9
0.100,1000,250,28,10,15
0.100,3000,30,3,0,28
0.100,3000,50,2,4,53
0.100,3000,100,5,2,1
0.100,3000,200,14,6,9
0.100,3000,250,7,16,13
0.100,6000,30,0,2,23
0.100,6000,50,0,2,41
0.100,6000,100,6,6,1
0.100,6000,200,14,8,23
0.100,6000,250,14,7,12
0.100,8000,30,0,1,21
0.100,8000,50,1,5,40
0.100,8000,100,0,2,1
0.100,8000,200,2,16,18
0.100,8050,30,1,1,881
0.100,8050,50,2,4,1
0.100,8050,100,5,3,1
0.100,8050,200,17,6,2
0.007,300,30,0,0,2
0.007,300,50,0,0,1
0.007,300,100,0,0,1
0.007,300,200,0,5,3
0.007,300,250,0,4,5
0.007,1000,30,0,0,6
0.007,1000,50,0,1,4
0.007,1000,100,2,0,6
0.007,1000,200,2,2,9
0.007,1000,250,4,1,20
0.007,3000,30,1,0,24
0.007,3000,50,0,0,9
0.007,3000,100,1,1,15
0.007,3000,200,1,2,26
0.007,3000,250,1,1,56
0.007,6000,30,0,0,11
0.007,6000,50,0,0,22
0.007,6000,100,1,0,46
0.007,6000,200,1,1,14
0.007,6000,250,1,3,20
0.007,8000,30,0,0,36
0.007,8000,50,0,0,1
0.007,8000,100,0,1,20
0.007,8000,200,0,1,898
0.007,8050,30,0,0,960
0.007,8050,50,1,0,1
0.007,8050,100,0,1,1
0.007,8050,200,2,1,2
0.010,300,30,0,0,1
0.010,300,50,0,0,1
0.010,300,100,0,0,2
0.010,300,200,1,2,5
0.010,300,250,0,1,5
0.010,1000,30,0,0,3
0.010,1000,50,2,0,5
0.010,1000,100,2,0,10
0.010,1000,200,4,1,20
0.010,1000,250,3,1,27
0.010,3000,30,0,0,9
0.010,3000,50,1,0,16
0.010,3000,100,1,0,28
0.010,3000,200,1,1,57
0.010,3000,250,1,0,13
0.010,6000,30,0,0,23
0.010,6000,50,0,0,41
0.010,6000,100,0,1,14
0.010,6000,200,2,1,21
0.010,6000,250,2,1,40
0.010,8000,30,0,0,1
0.010,8000,50,0,1,19
0.010,8000,100,0,0,931
0.010,8000,200,0,2,1
0.010,8050,30,0,0,1
0.010,8050,50,1,0,2
0.010,8050,100,0,0,2
0.010,8050,200,4,0,1
0.030,300,30,0,1,1
0.030,300,50,2,1,3
0.030,300,100,1,4,5
0.030,300,200,0,5,6
0.030,300,250,0,4,3
0.030,1000,30,1,0,5
0.030,1000,50,1,1,9
0.030,1000,100,3,0,20
0.030,1000,200,8,0,21
0.030,1000,250,7,2,9
0.030,3000,30,0,1,14
0.030,3000,50,0,1,29
0.030,3000,100,1,1,55
0.030,3000,200,2,3,1
0.030,3000,250,5,3,5
0.030,6000,30,0,1,15
0.030,6000,50,0,0,23
0.030,6000,100,2,2,44
0.030,6000,200,2,7,1
0.030,6000,250,3,3,22
0.030,8000,30,1,4,11
0.030,8000,50,1,1,19
0.030,8000,100,0,2,38
0.030,8050,30,0,0,1
0.030,8050,50,3,0,13
0.030,8050,100,3,1,952
0.030,8050,200,1,1,972
0.070,300,30,0,0,1
0.070,300,50,2,1,1
0.070,300,100,3,5,2
0.070,300,200,6,6,1
0.070,300,250,8,19,2
0.070,1000,30,3,0,3
0.070,1000,50,4,3,5
0.070,1000,100,5,3,6
0.070,1000,200,7,4,4
0.070,1000,250,11,5,6
0.070,3000,30,1,3,10
0.070,3000,50,1,2,18
0.070,3000,100,2,4,24
0.070,3000,200,8,12,9
0.070,3000,250,7,7,14
0.070,6000,30,2,1,29
0.070,6000,50,1,3,54
0.070,6000,100,3,2,1
0.070,6000,200,14,6,7
0.070,6000,250,12,8,12
0.070,8000,30,2,2,22
0.070,8000,50,2,3,41
0.070,8000,100,0,8,1
0.070,8000,200,1,14,31
0.070,8050,30,4,2,12
0.070,8050,50,1,1,19
0.070,8050,100,2,4,38
0.070,8050,200,12,2,1
0.080,300,30,0,1,11
0.080,300,50,0,6,884
0.080,300,100,0,7,969
0.080,300,200,8,16,1
0.080,300,250,6,14,2
0.080,1000,30,2,0,2
0.080,1000,50,4,1,1
0.080,1000,100,5,7,2
0.080,1000,200,15,2,3
0.080,1000,250,12,9,5
0.080,3000,30,2,1,7
0.080,3000,50,2,2,3
0.080,3000,100,7,2,5
0.080,3000,200,13,8,10
0.080,3000,250,1,10,20
0.080,6000,30,0,1,23
0.080,6000,50,2,2,9
0.080,6000,100,4,2,15
0.080,6000,200,8,9,28
0.080,8000,30,0,4,55
0.080,8000,50,1,2,15
0.080,8000,100,0,9,24
0.080,8000,200,0,7,43
0.080,8050,30,2,1,1
0.080,8050,50,2,0,31
0.080,8050,100,7,4,14
0.080,8050,200,20,1,19
0.100,300,30,2,1,42
0.100,300,50,0,4,964
0.100,300,100,4,4,1
0.100,300,200,9,14,1
0.100,300,250,1,16,1
0.100,1000,30,2,1,2
0.100,1000,50,3,3,1
0.100,1000,100,10,3,1
0.100,1000,200,10,9,3
0.100,1000,250,12,8,5
0.100,3000,30,1,0,7
0.100,3000,50,0,3,4
0.100,3000,100,4,3,6
0.100,3000,200,8,8,10
0.100,3000,250,16,13,21
0.100,6000,30,0,4,26
0.100,6000,50,1,4,11
0.100,6000,100,3,3,16
0.100,6000,200,10,9,28
0.100,8000,30,0,2,56
0.100,8000,50,3,2,1
0.100,8000,100,1,6,13
0.100,8000,200,4,14,16
0.100,8050,30,5,0,24
0.100,8050,50,3,2,46
0.100,8050,100,7,3,1
0.007,300,30,0,0,19
0.007,300,50,0,0,14
0.007,300,100,1,1,21
0.007,300,200,0,2,39
0.007,300,250,0,0,914
0.007,1000,30,0,0,956
0.007,1000,50,1,0,1
0.007,1000,100,2,0,1
0.007,1000,200,2,1,2
0.007,1000,250,2,0,1
0.007,3000,30,0,0,2
0.007,3000,50,0,0,3
0.007,3000,100,0,2,5
0.007,3000,200,0,0,6
0.007,3000,250,4,0,3
0.007,6000,30,0,0,6
0.007,6000,50,0,0,10
0.007,6000,100,0,0,20
0.007,6000,200,3,1,24
0.007,6000,250,0,4,9
0.007,8000,30,0,0,15
0.007,8000,50,1,0,29
0.007,8000,100,0,1,56
0.007,8050,30,0,0,1
0.007,8050,50,0,1,6
0.007,8050,100,0,0,14
0.007,8050,200,1,1,24
0.010,300,30,0,0,40
0.010,300,50,0,2,1
0.010,300,100,0,0,24
0.010,300,200,0,4,13
0.010,300,250,2,2,23
0.010,1000,30,0,0,42
0.010,1000,50,0,0,1
0.010,1000,100,0,1,19
0.010,1000,200,4,3,986
0.010,1000,250,3,3,1
0.010,3000,30,0,0,1
0.010,3000,50,0,1,2
0.010,3000,100,2,0,2
0.010,3000,200,2,0,1
0.010,3000,250,2,0,2
0.010,6000,30,1,0,3
0.010,6000,50,1,0,5
0.010,6000,100,1,0,6
0.010,6000,200,1,1,4
0.010,6000,250,1,0,6
0.010,8000,30,0,0,10
0.010,8000,50,0,0,23
0.010,8000,100,0,1,25
0.010,8000,200,0,3,10
0.010,8050,30,1,1,15
0.010,8050,50,0,0,28
0.010,8050,100,1,0,53
0.010,8050,200,2,0,1
0.030,300,30,1,1,6
0.030,300,50,0,0,15
0.030,300,100,0,6,22
0.030,300,200,1,3,45
0.030,300,250,0,4,1
0.030,1000,30,0,0,24
0.030,1000,50,1,0,15
0.030,1000,100,3,1,23
0.030,1000,200,9,1,44
0.030,1000,250,7,1,1
0.030,3000,30,0,0,24
0.030,3000,50,1,2,899
0.030,3000,100,1,0,1
0.030,3000,200,0,5,1
0.030,3000,250,2,8,2
0.030,6000,30,0,1,2
0.030,6000,50,0,0,1
0.030,6000,100,1,2,1
0.030,6000,200,4,5,3
0.030,8000,30,0,1,5
0.030,8000,50,0,1,6
0.030,8000,100,1,2,3
0.030,8000,200,1,5,6
0.030,8050,30,1,0,15
0.030,8050,50,0,1,22
0.030,8050,100,2,1,24
0.030,8050,200,2,5,9
0.070,300,30,1,1,15
0.070,300,50,1,1,30
0.070,300,100,2,3,1
0.070,300,200,2,15,1
0.070,300,250,7,10,7
0.070,1000,30,1,1,13
0.070,1000,50,4,2,23
0.070,1000,100,6,2,34
0.070,1000,200,6,4,1
0.070,1000,250,12,5,18
0.070,3000,30,0,4,12
0.070,3000,50,3,1,23
0.070,3000,100,6,2,42
0.070,3000,200,18,9,1
0.070,3000,250,6,12,25
0.070,6000,30,1,2,1
0.070,6000,50,2,2,1
0.070,6000,100,3,4,1
0.070,6000,200,2,3,2
0.070,6000,250,12,12,2
0.070,8000,30,0,4,1
0.070,8000,50,0,2,1
0.070,8000,100,1,8,3
0.070,8000,200,3,10,5
0.070,8050,30,2,2,6
0.070,8050,50,2,1,4
0.070,8050,100,5,1,6
0.070,8050,200,8,5,11
0.080,300,30,0,1,19
0.080,300,50,0,1,25
0.080,300,100,1,6,9
0.080,300,200,1,7,18
0.080,300,250,5,16,31
0.080,1000,30,2,1,57
0.080,1000,50,6,1,1
0.080,1000,100,7,2,7
0.080,1000,200,9,2,14
0.080,1000,250,11,10,25
0.080,3000,30,2,1,45
0.080,3000,50,0,1,1
0.080,3000,100,7,7,30
0.080,3000,200,12,13,14
0.080,3000,250,10,10,23
0.080,6000,30,0,1,32
0.080,6000,50,6,1,1
0.080,6000,100,6,0,30
0.080,6000,200,12,5,968
0.080,8000,30,0,3,1
0.080,8000,50,0,5,1
0.080,8000,100,2,8,2
0.080,8050,30,2,1,2
0.080,8050,50,2,2,1
0.080,8050,100,7,0,2
0.100,300,30,0,2,3
0.100,300,50,0,3,5
0.100,300,100,4,5,6
0.100,300,200,3,13,3
0.100,300,250,6,18,5
0.100,1000,30,2,0,9
0.100,1000,50,4,5,20
0.100,1000,100,6,3,27
0.100,1000,200,23,5,10
0.100,1000,250,12,11,16
0.100,3000,30,1,1,31
0.100,3000,50,1,3,1
0.100,3000,100,2,6,1
0.100,3000,200,7,13,1
0.100,3000,250,10,13,17
0.100,6000,30,3,0,16
0.100,6000,50,4,1,23
0.100,6000,100,6,8,46
0.100,6000,200,8,8,14
0.100,8000,30,2,2,22
0.100,8000,50,0,4,36
0.100,8000,100,2,10,1
0.100,8050,30,2,2,16
0.100,8050,50,4,1,864
0.100,8050,100,5,1,1
0.100,8050,200,13,9,1
0.007,300,30,0,0,2
0.007,300,50,0,0,2
0.007,300,100,1,0,1
0.007,300,200,0,1,2
0.007,300,250,0,1,3
0.007,1000,30,2,0,5
0.007,1000,50,1,0,6
0.007,1000,100,0,0,4
0.007,1000,200,2,3,6
0.007,1000,250,2,2,11
0.007,3000,30,0,1,21
0.007,3000,50,0,0,25
0.007,3000,100,3,1,10
0.007,3000,200,2,2,14
0.007,3000,250,4,0,29
0.007,6000,30,0,0,1
0.007,6000,50,1,0,1
0.007,6000,100,0,1,13
0.007,6000,200,1,1,15
0.007,6000,250,1,1,27
0.007,8000,30,0,0,36
0.007,8000,50,0,0,1
0.007,8000,100,0,3,30
0.007,8000,200,2,0,14
0.007,8050,30,0,0,19
0.007,8050,50,1,0,41
0.007,8050,100,0,0,1
0.007,8050,200,0,2,26
0.010,300,30,0,0,1
0.010,300,50,0,0,1
0.010,300,100,0,2,1
0.010,300,200,0,0,2
0.010,300,250,1,4,2
0.010,1000,30,0,0,1
0.010,1000,50,0,0,2
0.010,1000,100,4,1,2
0.010,1000,200,4,0,5
0.010,1000,250,2,1,6
0.010,3000,30,0,0,4
0.010,3000,50,1,0,5
0.010,3000,100,0,0,12
0.010,3000,200,1,1,18
0.010,3000,250,1,2,25
0.010,6000,30,0,0,8
0.010,6000,50,1,1,14
0.010,6000,100,1,1,29
0.010,6000,200,2,3,52
0.010,6000,250,1,2,16
0.010,8000,30,0,0,22
0.010,8000,50,0,0,44
0.010,8000,100,0,2,1
0.010,8000,200,1,1,28
0.010,8050,30,0,1,13
0.010,8050,50,1,0,21
0.010,8050,100,2,0,42
0.010,8050,200,2,0,1
0.030,300,30,0,3,18
0.030,300,50,0,1,891
0.030,300,100,0,2,963
0.030,300,200,0,7,1
0.030,300,250,5,5,2
0.030,1000,30,0,1,2
0.030,1000,50,4,1,1
0.030,1000,100,1,1,1
0.030,1000,200,4,2,3
0.030,1000,250,9,2,5
0.030,3000,30,0,1,6
0.030,3000,50,1,2,3
0.030,3000,100,0,4,5
0.030,3000,200,3,5,11
0.030,3000,250,1,5,17
0.030,6000,30,0,0,25
0.030,6000,50,1,1,10
0.030,6000,100,1,4,16
0.030,6000,200,2,4,28
0.030,6000,250,4,4,46
0.030,8000,30,1,1,15
0.030,8000,50,0,4,21
0.030,8000,100,0,4,46
0.030,8000,200,4,7,1
0.030,8050,30,1,0,27
0.030,8050,50,0,0,13
0.030,8050,100,2,0,23
0.030,8050,200,8,1,32
0.070,300,30,0,3,870
0.070,300,50,0,1,1
0.070,300,100,1,2,1
0.070,300,200,2,15,1
0.070,300,250,10,11,2
0.070,1000,30,0,1,1
0.070,1000,50,1,2,1
0.070,1000,100,2,5,3
0.070,1000,200,9,4,5
0.070,1000,250,12,7,6
0.070,3000,30,2,1,3
0.070,3000,50,0,1,5
0.070,3000,100,5,5,10
0.070,3000,200,9,10,19
0.070,3000,250,8,8,23
0.070,6000,30,1,2,9
0.070,6000,50,1,1,13
0.070,6000,100,3,4,30
0.070,6000,200,6,13,56
0.070,8000,30,0,0,1
0.070,8000,50,0,6,9
0.070,8000,100,1,9,14
0.070,8000,200,1,12,23
0.070,8050,30,4,0,40
0.070,8050,50,3,0,12
0.070,8050,100,3,4,24
0.070,8050,200,8,2,42
0.080,300,30,0,0,1
0.080,300,50,1,3,15
0.080,300,100,2,3,909
0.080,300,200,2,9,999
0.080,300,250,5,14,1
0.080,1000,30,0,1,2
0.080,1000,50,0,0,2
0.080,1000,100,8,3,1
0.080,1000,200,10,5,1
0.080,1000,250,16,10,3
0.080,3000,30,3,0,6
0.080,3000,50,2,3,6
0.080,3000,100,7,3,3
0.080,3000,200,10,5,6
0.080,3000,250,19,8,10
0.080,6000,30,1,2,21
0.080,6000,50,0,1,25
0.080,6000,100,0,7,10
0.080,6000,200,16,5,14
0.080,8000,30,0,1,34
0.080,8000,50,1,1,59
0.080,8000,100,1,6,1
0.080,8000,200,11,15,15
0.080,8050,30,2,1,12
0.080,8050,50,2,1,26
0.080,8050,100,6,0,50
0.100,300,30,2,3,1
0.100,300,50,1,4,35
0.100,300,100,3,3,14
0.100,300,200,2,13,25
0.100,300,250,12,18,50
0.100,1000,30,4,1,1
0.100,1000,50,6,0,8
0.100,1000,100,4,1,912
0.100,1000,200,10,6,1
0.100,1000,250,19,10,1
0.100,3000,30,4,2,2
0.100,3000,50,5,3,2
0.100,3000,100,6,8,1
0.100,3000,200,16,9,2
0.100,3000,250,16,13,3
0.100,6000,30,0,0,6
0.100,6000,50,2,5,7
0.100,6000,100,4,7,4
0.100,6000,200,7,13,5
0.100,6000,250,12,11,11
0.100,8000,30,0,3,20
0.100,8000,50,0,5,25
0.100,8000,100,8,8,9
0.100,8000,200,0,9,16
0.100,8050,30,3,0,33
0.100,8050,50,1,0,55
0.100,8050,100,9,5,15
0.100,8050,200,16,5,22
0.007,300,30,0,0,44
0.007,300,50,0,0,1
0.007,300,100,0,1,29
0.007,300,200,0,1,15
0.007,300,250,3,3,24
0.007,1000,30,1,0,45
0.007,1000,50,0,0,1
